N J h mean_R_sq err_mean_R_sq mean_R_gyr_sq err_mean_R_gyr_sq mean_e err_mean_e mean_e_sq err_mean_e_sq mean_e_fourth err_mean_e_fourth mean_m err_mean_m mean_m_sq err_mean_m_sq mean_m_fourth err_mean_m_fourth 
100 0.4 0 234.565 0.0451044 37.5063 0.0074642 -1.46842 4.81949e-05 2.17178 0.000143006 4.84931 0.000644476 0.147703 3.18451e-05 0.0340148 1.43964e-05 0.00334366 3.09582e-06 85000000000
300 0.4 0 854.315 0.501266 136.704 0.0963796 -1.4726 7.83636e-05 2.17393 0.000230115 4.77244 0.00100138 0.0866421 4.77717e-05 0.0117623 1.24512e-05 0.000409697 9.02447e-07 82000000000
100 0.41 0 232.779 0.0557153 37.2396 0.00680849 -1.45282 4.94712e-05 2.12656 0.000142166 4.6548 0.000603042 0.151168 3.38764e-05 0.035605 1.46835e-05 0.0036555 2.82819e-06 85000000000
300 0.41 0 845.52 0.498842 135.368 0.0729663 -1.4562 8.91186e-05 2.12603 0.000255279 4.56657 0.00105692 0.0887953 5.68057e-05 0.0123542 1.60558e-05 0.000452393 1.29631e-06 82000000000
100 0.42 0 230.689 0.0496644 36.9437 0.00679031 -1.43668 5.59783e-05 2.08027 0.000162162 4.45986 0.000697389 0.154881 2.9393e-05 0.0373539 1.36647e-05 0.00401519 3.01786e-06 85000000000
300 0.42 0 835.347 0.538598 133.819 0.0893135 -1.43936 7.84736e-05 2.07743 0.000225078 4.36249 0.00093564 0.0910688 5.42958e-05 0.0129943 1.46193e-05 0.000500601 1.14411e-06 83000000000
100 0.43 0 228.523 0.0451213 36.6227 0.00723967 -1.42028 4.82093e-05 2.03384 0.000136288 4.26892 0.00055908 0.158684 4.02639e-05 0.0391889 1.97152e-05 0.00441134 4.53652e-06 85000000000
300 0.43 0 826.384 0.526155 132.394 0.0933693 -1.42222 9.18069e-05 2.02852 0.000258936 4.16175 0.00104191 0.0936596 6.0064e-05 0.0137403 1.70216e-05 0.000558883 1.41098e-06 81000000000
100 0.44 0 226.168 0.0484878 36.2882 0.00734795 -1.40337 4.65157e-05 1.98654 0.00012874 4.07897 0.000509024 0.162951 3.55306e-05 0.0412973 1.72112e-05 0.00488638 4.20869e-06 86000000000
300 0.44 0 815.209 0.618719 130.724 0.113175 -1.40454 8.03238e-05 1.97874 0.000224363 3.96256 0.000885462 0.0963243 5.60443e-05 0.0145275 1.69052e-05 0.00062407 1.60353e-06 83000000000
100 0.45 0 223.806 0.0648815 35.9355 0.00693995 -1.38606 6.03987e-05 1.93876 0.000163803 3.89178 0.000622132 0.167479 4.54226e-05 0.043592 2.20071e-05 0.00543018 5.32832e-06 85000000000
300 0.45 0 804.264 0.511745 129.081 0.0725515 -1.38621 8.66162e-05 1.92783 0.000239365 3.76411 0.00092589 0.0992144 5.71648e-05 0.0154147 1.75768e-05 0.000703076 1.68582e-06 81000000000
100 0.46 0 221.005 0.0464359 35.546 0.00923003 -1.36818 5.14158e-05 1.89009 0.000138845 3.70598 0.000526042 0.172353 4.37095e-05 0.0461252 2.31881e-05 0.00606045 6.2755e-06 85000000000
300 0.46 0 791.555 0.53492 127.216 0.0777528 -1.36696 8.68503e-05 1.87508 0.000236225 3.56406 0.000887645 0.102566 6.20985e-05 0.0164698 1.93876e-05 0.000801314 1.97472e-06 83000000000
100 0.47 0 218.132 0.0427977 35.1192 0.00755622 -1.34959 5.02646e-05 1.84024 0.000134481 3.52078 0.000505228 0.177702 4.66186e-05 0.0489885 2.29484e-05 0.00681379 5.96674e-06 85000000000
300 0.47 0 778.606 0.597147 125.248 0.0831818 -1.34701 0.000131286 1.82124 0.000353632 3.36579 0.00130099 0.10614 6.34781e-05 0.0176334 2.02561e-05 0.000918268 2.34745e-06 83000000000
100 0.48 0 215.111 0.0470853 34.6834 0.0064521 -1.33048 5.58574e-05 1.78974 0.000145284 3.33842 0.000513278 0.183433 4.3352e-05 0.0521435 2.34052e-05 0.00768942 6.89994e-06 85000000000
300 0.48 0 764.059 0.516603 122.956 0.0760221 -1.32597 0.000113077 1.76536 0.000298902 3.1663 0.00105768 0.110324 8.50306e-05 0.0190606 2.65128e-05 0.00107414 2.9294e-06 82000000000
100 0.49 0 211.755 0.0424379 34.1915 0.00614888 -1.31036 5.90579e-05 1.7375 0.000150405 3.1555 0.000512221 0.189874 4.70328e-05 0.0558095 2.65328e-05 0.00877417 8.32629e-06 85000000000
300 0.49 0 746.702 0.553548 120.451 0.0705206 -1.304 0.000104977 1.70802 0.000272834 2.96838 0.00093811 0.114899 0.000101527 0.020658 3.48745e-05 0.00125907 4.19794e-06 82000000000
100 0.5 0 208.279 0.0457397 33.6838 0.00643456 -1.28955 5.79734e-05 1.68438 0.000145409 2.97526 0.000480559 0.196835 4.85023e-05 0.0599017 2.7681e-05 0.0100596 9.09759e-06 86000000000
300 0.5 0 729.197 0.504325 117.75 0.074219 -1.28018 0.00010824 1.64707 0.000274822 2.76567 0.000903092 0.120186 0.000119733 0.0226128 4.40237e-05 0.00151297 5.79893e-06 82000000000
