N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,mean_e,err_mean_e,mean_e_sq,err_mean_e_sq,mean_e_fourth,err_mean_e_fourth,mean_m,err_mean_m,mean_m_sq,err_mean_m_sq,mean_m_fourth,err_mean_m_fourth,steps,steps
100,0.0,0,933,36,132.273,0.0598786,-0.487977,9.80134e-05,0.245783,9.51009e-05,0.068149,5.24155e-05,0,0,0,0,0,0,118000000000,
300,0.0,0,4915,80,690.255,0.366053,-0.493736,5.94128e-05,0.246388,5.72899e-05,0.0633072,2.90701e-05,0,0,0,0,0,0,103000000000,
600,0.0,0,13933,138,1955.19,2.46007,-0.49524,7.49844e-05,0.246572,7.4492e-05,0.0620963,3.74798e-05,0,0,0,0,0,0,94000000000,
1200,0.0,0,39496,282,5540.51,17.8312,-0.495891,0.000119206,0.246567,0.00011741,0.0614467,5.74276e-05,0,0,0,0,0,0,74000000000,
100,0.1,0,813,34,116.785,0.0557921,-0.573645,9.71409e-05,0.338669,0.000116954,0.128058,0.000100402,0,0,0,0,0,0,110000000000,
300,0.1,0,4262,67,602.969,0.3499,-0.582199,8.68974e-05,0.342273,9.9392e-05,0.121738,6.79945e-05,0,0,0,0,0,0,98000000000,
600,0.1,0,12112,114,1704.09,2.10925,-0.584215,9.78046e-05,0.342981,0.000113677,0.119944,7.8271e-05,0,0,0,0,0,0,87000000000,
1200,0.1,0,34176,232,4803.77,15.6161,-0.585002,0.000150669,0.343065,0.000177142,0.118846,0.000123405,0,0,0,0,0,0,67000000000,
100,0.2,0,660,29,98.3253,0.0486597,-0.682602,0.000115666,0.478322,0.000161713,0.253071,0.000177487,0,0,0,0,0,0,111000000000,
300,0.2,0,3436,59,493.98,0.350752,-0.696744,7.71453e-05,0.489868,0.000108142,0.248711,0.000110386,0,0,0,0,0,0,100000000000,
600,0.2,0,9694,99,1379.0,1.71733,-0.699933,0.000110492,0.49215,0.000155437,0.246656,0.000155941,0,0,0,0,0,0,87000000000,
1200,0.2,0,27484,195,3884.17,11.2577,-0.701249,0.000168054,0.492878,0.000235141,0.245157,0.000232056,0,0,0,0,0,0,64000000000,
100,0.3,0,481,27,76.7157,0.0361261,-0.82401,0.000114192,0.69501,0.000190779,0.52826,0.000292509,0,0,0,0,0,0,111000000000,
300,0.3,0,2376,50,357.442,0.240467,-0.853716,9.35358e-05,0.735025,0.000160606,0.558648,0.000245497,0,0,0,0,0,0,94000000000,
600,0.3,0,6600,87,970.819,1.38915,-0.860806,0.000128125,0.744205,0.000221435,0.563478,0.000336889,0,0,0,0,0,0,80000000000,
1200,0.3,0,18389,160,2654.5,11.11,-0.864701,0.00020449,0.749346,0.000356369,0.566447,0.000545396,0,0,0,0,0,0,57000000000,
1200,0.35,0,12927,120,1939.13,3.12623,-0.97478,0.000105195,0.952277,0.000204475,0.914783,0.000389444,0,0,0,0,0,0,234000000000,
2400,0.35,0,36353,449,5307.1,48.2315,-0.978523,0.000412877,0.958561,0.000811296,0.922891,0.00157122,0,0,0,0,0,0,73000000000,
1200,0.36,0,11656,110,1771.72,2.98748,-1.0006,0.000111532,1.00338,0.000222899,1.01556,0.0004486,0,0,0,0,0,0,227000000000,
2400,0.36,0,32457,317,4786.33,29.7323,-1.00418,0.000303572,1.0095,0.000609201,1.02361,0.00123159,0,0,0,0,0,0,72000000000,
1200,0.37,0,10466,109,1618.67,2.75768,-1.02719,0.000126007,1.05741,0.00025769,1.12783,0.000542215,0,0,0,0,0,0,227000000000,
2400,0.37,0,27904,361,4224.51,36.1132,-1.03154,0.000374792,1.06527,0.000767819,1.13988,0.00161719,0,0,0,0,0,0,70000000000,
1200,0.38,0,9236,100,1459.68,3.21255,-1.05539,0.000134573,1.11627,0.00028274,1.25687,0.000629029,0,0,0,0,0,0,218000000000,
2400,0.38,0,24652,270,3778.24,26.233,-1.06141,0.000379699,1.12785,0.000808292,1.27768,0.00183793,0,0,0,0,0,0,69000000000,
1200,0.39,0,8019,99,1300.89,3.16572,-1.08513,0.000156479,1.18003,0.000337021,1.40434,0.000786175,0,0,0,0,0,0,214000000000,
2400,0.39,0,20682,241,3267.68,30.02,-1.09253,0.000321366,1.19497,0.000699449,1.43437,0.00166289,0,0,0,0,0,0,67000000000,
100,0.4,0,306,18,54.6068,0.0380995,-0.999667,0.0002011,1.01793,0.000393034,1.11129,0.000784482,0,0,0,0,0,0,112000000000,
300,0.4,0,1189,40,206.593,0.179708,-1.07384,0.000105342,1.16142,0.000226823,1.3874,0.000541621,0,0,0,0,0,0,92000000000,
600,0.4,0,2844,54,485.029,0.793502,-1.0996,0.000150173,1.21385,0.000333674,1.49644,0.000833939,0,0,0,0,0,0,73000000000,
1200,0.4,0,6956,99,1163.01,5.5781,-1.11532,0.000270935,1.24654,0.000608116,1.56686,0.00154201,0,0,0,0,0,0,47000000000,
1200,0.41,0,5847,83,1018.07,2.20575,-1.14745,0.000127012,1.31932,0.000291595,1.75478,0.000772712,0,0,0,0,0,0,201000000000,
2400,0.41,0,13927,209,2391.88,20.3313,-1.15984,0.000405265,1.3467,0.000932568,1.82154,0.00247763,0,0,0,0,0,0,64000000000,
1200,0.42,0,4870,72,890.295,2.78567,-1.18003,0.00016052,1.39519,0.00037859,1.96176,0.0010596,0,0,0,0,0,0,204000000000,
2400,0.42,0,10752,187,1966.73,18.974,-1.19531,0.000328798,1.43026,0.000781357,2.05424,0.00221467,0,0,0,0,0,0,62000000000,
1200,0.43,0,4025,65,780.143,1.63902,-1.21252,0.00013916,1.47291,0.000335446,2.18542,0.000979704,0,0,0,0,0,0,194000000000,
2400,0.43,0,8336,132,1649.35,13.0358,-1.23135,0.000309756,1.51769,0.000758867,2.31235,0.00228514,0,0,0,0,0,0,60000000000,
1200,0.44,0,3301,63,683.713,1.37028,-1.24498,0.000124626,1.55261,0.000309204,2.427,0.000957466,0,0,0,0,0,0,191000000000,
2400,0.44,0,6403,118,1391.33,12.2561,-1.26646,0.00032313,1.60537,0.000816954,2.58649,0.00261867,0,0,0,0,0,0,59000000000,
1200,0.45,0,2761,57,608.343,1.38182,-1.27621,0.000134241,1.63126,0.000343203,2.67765,0.00112587,0,0,0,0,0,0,182000000000,
2400,0.45,0,5123,107,1209.89,11.2201,-1.30004,0.000323812,1.69149,0.000835586,2.87041,0.00278848,0,0,0,0,0,0,60000000000,
1200,0.46,0,2303,49,545.879,1.02234,-1.30632,0.000111188,1.70893,0.000288949,2.93705,0.000980566,0,0,0,0,0,0,178000000000,
2400,0.46,0,4068,81,1051.69,6.89576,-1.33216,0.000337121,1.77597,0.000889806,3.16336,0.00310802,0,0,0,0,0,0,59000000000,
1200,0.47,0,1972,46,498.133,1.08091,-1.33478,0.000113629,1.78395,0.000301031,3.19887,0.00106103,0,0,0,0,0,0,174000000000,
2400,0.47,0,3386,69,946.945,6.32512,-1.36298,0.000246678,1.85893,0.000669353,3.46466,0.00246993,0,0,0,0,0,0,58000000000,
1200,0.48,0,1708,42,459.339,0.833258,-1.36162,9.91281e-05,1.85619,0.000267926,3.46147,0.000983001,0,0,0,0,0,0,170000000000,
