N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,lambda1,err_lambda1,lambda2,err_lambda2,acperical,err_aspherical,bulk2,err_bulk2,bulk3,err_bulk3,bulk4,err_bulk4,bulk5,err_bulk5,bulk6,err_bulk6,steps
100,0.0,0,933,36,132.273,0.0598786,118.252,0.0629827,14.0215,0.00725799,0.56491,0.000237791,0.36477,8.79777e-05,0.368953,5.14251e-05,0.184685,5.60233e-05,0.0603928,3.23981e-05,0.0115306,1.42516e-05,118000000000
300,0.0,0,4915,80,690.255,0.366053,617.025,0.372752,73.2299,0.0449839,0.564499,0.000276205,0.361584,4.83278e-05,0.372395,4.18101e-05,0.188744,4.15285e-05,0.0621938,2.07061e-05,0.0118847,9.27158e-06,103000000000
600,0.0,0,13933,138,1955.19,2.46007,1747.95,2.56365,207.24,0.214517,0.564714,0.000554487,0.36072,6.24637e-05,0.373259,4.13078e-05,0.189772,4.20975e-05,0.0626725,2.6066e-05,0.0119806,1.10473e-05,94000000000
1200,0.0,0,39496,282,5540.51,17.8312,4954.33,18.5473,586.177,1.51597,0.565153,0.00130081,0.360325,0.000113538,0.373758,7.18772e-05,0.190228,8.27267e-05,0.0628582,4.12286e-05,0.0120316,1.90289e-05,74000000000
100,0.1,0,813,34,116.785,0.0557921,104.214,0.0588143,12.5712,0.00827652,0.559588,0.000286781,0.306492,6.97405e-05,0.36302,5.32435e-05,0.214783,4.56812e-05,0.085465,3.97019e-05,0.0217096,2.05789e-05,110000000000
300,0.1,0,4262,67,602.969,0.3499,538.714,0.373764,64.2549,0.051004,0.562697,0.000315742,0.301227,6.4426e-05,0.365109,3.54749e-05,0.219738,3.31023e-05,0.0885042,2.91433e-05,0.0226111,1.97498e-05,98000000000
600,0.1,0,12112,114,1704.09,2.10925,1522.93,2.22836,181.159,0.211049,0.563752,0.000507442,0.299935,6.83351e-05,0.365705,4.41069e-05,0.220893,4.77186e-05,0.0892462,3.42411e-05,0.0228175,1.71604e-05,87000000000
1200,0.1,0,34176,232,4803.77,15.6161,4292.41,16.1924,511.361,1.56164,0.562858,0.00152681,0.299441,0.000105472,0.365988,7.48054e-05,0.221438,6.65037e-05,0.0895654,6.6397e-05,0.022869,2.74791e-05,67000000000
100,0.2,0,660,29,98.3253,0.0486597,87.4287,0.0518249,10.8966,0.00671301,0.548851,0.000319777,0.245887,8.07185e-05,0.343253,5.42435e-05,0.2429,6.50948e-05,0.119448,4.7566e-05,0.0412639,3.14191e-05,111000000000
300,0.2,0,3436,59,493.98,0.350752,440.498,0.358343,53.4818,0.0331142,0.55716,0.000298518,0.237805,4.77649e-05,0.34259,3.85477e-05,0.248693,3.67245e-05,0.124935,3e-05,0.0436038,2.16701e-05,100000000000
600,0.2,0,9694,99,1379.0,1.71733,1230.47,1.79176,148.531,0.191327,0.559102,0.000534201,0.23603,5.25454e-05,0.342384,4.59429e-05,0.250044,4.34054e-05,0.126209,3.74391e-05,0.0441532,3.84518e-05,87000000000
1200,0.2,0,27484,195,3884.17,11.2577,3468.49,11.6052,415.686,1.25847,0.561404,0.0014549,0.235207,9.70057e-05,0.342414,8.39399e-05,0.250723,7.65771e-05,0.126702,6.58818e-05,0.0443633,4.53287e-05,64000000000
100,0.3,0,481,27,76.7157,0.0361261,67.662,0.0379622,9.0537,0.0066477,0.526152,0.000266137,0.184596,5.60514e-05,0.305525,6.33945e-05,0.262481,5.37645e-05,0.16289,4.69506e-05,0.0786748,4.32409e-05,111000000000
300,0.3,0,2376,50,357.442,0.240467,316.878,0.251184,40.5638,0.0307015,0.540063,0.000339096,0.17148,4.2513e-05,0.297783,4.05492e-05,0.268229,3.04441e-05,0.174201,3.58075e-05,0.0864453,3.36373e-05,94000000000
600,0.3,0,6600,87,970.819,1.38915,863.202,1.42865,107.617,0.128878,0.54827,0.000570611,0.168334,5.11324e-05,0.295846,6.02317e-05,0.26965,3.69706e-05,0.176955,4.75432e-05,0.0882963,4.50463e-05,80000000000
1200,0.3,0,18389,160,2654.5,11.11,2364.35,11.3566,290.145,0.912857,0.553772,0.00156649,0.166596,9.06812e-05,0.294849,8.50939e-05,0.270322,6.64623e-05,0.178404,8.99853e-05,0.0893717,7.34837e-05,57000000000
1200,0.35,0,12927,120,1939.13,3.12623,1720.21,3.23789,218.915,0.330034,0.541778,0.000729957,0.130707,3.86687e-05,0.258211,4.41418e-05,0.271155,4.92176e-05,0.210448,3.79942e-05,0.129102,5.28696e-05,234000000000
2400,0.35,0,36353,449,5307.1,48.2315,4733.99,49.8823,573.111,3.75028,0.55649,0.00439495,0.129395,0.000142886,0.256865,0.000174066,0.27141,0.000120083,0.211853,0.000164831,0.130289,0.000142575,73000000000
1200,0.36,0,11656,110,1771.72,2.98748,1567.87,3.1981,203.849,0.498717,0.534853,0.000844477,0.123135,3.97285e-05,0.249424,5.87242e-05,0.270168,2.9107e-05,0.217524,3.89175e-05,0.139389,4.91581e-05,227000000000
2400,0.36,0,32457,317,4786.33,29.7323,4259.24,30.9396,527.096,3.3764,0.549152,0.00314809,0.121914,0.00013009,0.248186,0.000125651,0.270248,9.61915e-05,0.21886,0.000110633,0.140613,0.000130961,72000000000
1200,0.37,0,10466,109,1618.67,2.75768,1429.38,2.8605,189.299,0.321469,0.52895,0.0007857,0.115707,3.8023e-05,0.240311,5.48502e-05,0.268633,2.96739e-05,0.224544,4.36173e-05,0.150461,5.56204e-05,227000000000
2400,0.37,0,27904,361,4224.51,36.1132,3733.34,37.609,491.166,3.05202,0.533066,0.00346428,0.11428,0.000149014,0.238659,0.000147071,0.268921,0.000109727,0.225964,0.000134416,0.152007,0.000152133,70000000000
